mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.6724586963653563,0.02951846275275636,0.0028017044067382814,8.40686223323044e-05,0.7,200,6,0.2,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 1.0}",0.988578726509761,0.983378945447911,0.9846135133491456,0.9896004378762999,0.9878798224650052,0.9868102891296244,0.0023939985648810404,1
1.321171808242798,0.0066980850831583165,0.0029649257659912108,7.224789512501152e-05,0.8,200,3,0.2,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9868941190780272,0.9835735571367755,0.9857629386365019,0.9893875813416043,0.9874225723064918,0.9866081536998802,0.0019179904423141571,2
2.692278242111206,0.03997192205086172,0.003113079071044922,0.0002676451501181452,1.0,200,6,0.2,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9872286079182632,0.983713434288147,0.9856899592531777,0.9884388493583895,0.9874713456567331,0.986508439294942,0.001652530005018339,3
2.5987628936767577,0.013019187381631745,0.0030921459197998046,0.00028084618105223556,0.8,200,6,0.2,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 200, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9888280727361187,0.9820470717022441,0.9834154351395731,0.9898497841026577,0.9858679217675462,0.9860016570896282,0.0030047256651003712,4
1.800219678878784,0.009527602590356211,0.002670764923095703,6.598106566541662e-05,1.0,100,6,0.2,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 100, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9861278355531229,0.9829228243021347,0.9850635528796449,0.9881226053639847,0.9870019021606594,0.9858477440519093,0.0017751415445254918,5
1.2729381561279296,0.01830783900252855,0.002949953079223633,0.00015551713312469398,0.7,200,3,0.1,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",0.9864988140850209,0.981682174785623,0.9843094325852946,0.9887672565833485,0.9873798956250305,0.9857275147328636,0.0024876104231579487,6
3.5059537410736086,0.04900323699418447,0.0031131744384765626,0.0002139974616752698,1.0,200,6,0.1,0.7,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.9859028157878733,0.9823146627744329,0.9859028157878733,0.988572644894484,0.9858862117738867,0.9857158302037099,0.001991395849961698,7
3.3491633892059327,0.03227827482151786,0.002983570098876953,0.00011037631829922286,0.7,200,9,0.2,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.7}",0.9886638691236392,0.9820957246244602,0.9819132761661499,0.9877577084473637,0.9853679949275715,0.9851597146578369,0.00279282826992001,8
1.383658504486084,0.013083417242811162,0.002816629409790039,0.0001195799215781292,1.0,200,3,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.9858602444809341,0.9806665450343611,0.9833363741409717,0.987532688682114,0.9880566258596303,0.9850904956396022,0.0027569196508915143,9
3.3994564533233644,0.026635079977759716,0.00301513671875,0.00018872637641106753,0.7,200,9,0.2,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9879401569056742,0.9801739341969227,0.983366782217357,0.9865778750836223,0.987056772179681,0.9850231041166515,0.0028747231751510235,10
1.7623369216918945,0.011423604288824543,0.00270233154296875,0.00013215846149905672,0.8,100,6,0.2,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.987544851912668,0.980976707413489,0.9826613148452229,0.988596971355592,0.985105838170024,0.9849771367393991,0.00286633542192872,11
5.651794958114624,0.032795902246609054,0.0032583236694335937,0.0003210171232068477,1.0,200,9,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.9858784893267651,0.9822933771209633,0.9839992702061667,0.9855987350240224,0.985520411647076,0.9846580566649987,0.0013523088934467005,12
3.554998350143433,0.06783303812895904,0.002987575531005859,0.00037673242054576516,0.7,100,9,0.1,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.986833302925257,0.980952380952381,0.9827951103813173,0.9877698716779177,0.9849290347753986,0.9846559401424543,0.002517582056193613,13
2.0417086124420165,0.02297396044627842,0.0026040077209472656,2.048624734140242e-05,0.7,100,6,0.1,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.9862798759350484,0.9791583044456608,0.9828255184577024,0.9880982789028767,0.9856179583475588,0.9843959872177696,0.003119259745847875,14
0.6896944046020508,0.005027348992874443,0.0027016162872314452,0.00010942167115633597,0.7,100,3,0.2,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 1.0}",0.9869853433071825,0.9798090372803017,0.9809098096454418,0.9874171379918506,0.9862946885821587,0.9842832033613871,0.003242441260284557,15
2.2978577613830566,0.009309855068288938,0.002708625793457031,8.585113705659095e-05,0.8,100,6,0.1,1.0,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.9849236757282736,0.9808794015690567,0.983026211761844,0.9866751809280544,0.9854350582841536,0.9841879056542764,0.0020287443186945294,16
2.799883508682251,0.06297119029347677,0.002787160873413086,0.00020114783066609566,1.0,100,9,0.2,0.8,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 100, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9842060451255853,0.9812747065620627,0.982357234081372,0.9871495469196618,0.9852216748768473,0.9840418415131058,0.002077100889356291,17
3.5747633934020997,0.06182243199369567,0.0028136730194091796,0.0001570473586662289,0.7,100,9,0.1,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",0.9846925743477468,0.9798759350483488,0.9829228243021346,0.9864623243933589,0.9851546115202653,0.9838216539223709,0.002275302661207852,18
3.043183946609497,0.1368119405758816,0.003142833709716797,0.0001723242253984545,1.0,100,9,0.2,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 100, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 1.0}",0.9835370674451134,0.979906343124734,0.9835796387520526,0.9853068174907256,0.984868068087597,0.9834395869800445,0.0018994755663421725,19
3.733243989944458,0.06992076566065573,0.002847099304199219,0.00017787461568051776,0.8,100,9,0.1,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.9847047375783008,0.9790245089095664,0.9819011129355957,0.9865109773155751,0.9843315612349413,0.9832945795947958,0.0025916922558758436,20
