mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.39770216941833497,0.011948379399239673,0.03836426734924316,0.0002340013726129521,300,2,4,sqrt,30,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9776631359420449,0.9689814526130545,0.991607382204351,0.9832473519565337,0.9660535117056857,0.977510566884334,0.009334496087821623,1
0.16349372863769532,0.008516777273341264,0.02610158920288086,0.0041977240263757895,100,5,1,sqrt,20,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20}",0.9776631359420449,0.9660927520133297,0.9887878787878788,0.9888315679710225,0.9631494061873809,0.9769049481803312,0.010864084587401315,2
0.15725297927856446,0.007585134282716877,0.01917095184326172,0.0045536993885517615,100,2,2,sqrt,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9804928482906422,0.9633417167245191,0.9887878787878788,0.9860663202076015,0.9632990522282718,0.9763975632477827,0.01100729084998414,3
0.29660615921020506,0.01958861247225247,0.027310609817504883,0.00040404995739226005,200,2,2,sqrt,30,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9804928482906422,0.9660927520133297,0.9887878787878788,0.9831818181818182,0.962996459494514,0.9763103513536366,0.010020559670862498,4
0.20246057510375975,0.002166829410934346,0.03028078079223633,0.003904709493588072,200,2,4,log2,20,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 20}",0.9776631359420449,0.9631917631917633,0.991607382204351,0.9860123036739183,0.962996459494514,0.9762942089013183,0.01165600983800875,5
0.2917236328125,0.003526403373504018,0.03199892044067383,0.005322402505870459,200,10,2,sqrt,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9804928482906422,0.9633417167245191,0.9887878787878788,0.9860123036739183,0.9603957636566332,0.9758061022267184,0.011726023197354834,6
0.4145803451538086,0.009687534550813587,0.03793377876281738,0.00019915122037066652,300,5,2,sqrt,30,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9776631359420449,0.9631917631917633,0.9887878787878788,0.9860123036739183,0.9631494061873809,0.9757608975565972,0.01091279003275102,7
0.164864444732666,0.007301519806521096,0.02438774108886719,0.005689638052990498,100,10,2,sqrt,30,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9776631359420449,0.9662296714238301,0.9887878787878788,0.9860663202076015,0.9574800840623625,0.9752454180847435,0.011859395474192515,8
0.1656886100769043,0.007568873840533617,0.02717428207397461,0.00473145588204791,100,10,2,sqrt,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9776631359420449,0.9662296714238301,0.9887878787878788,0.9860663202076015,0.9574800840623625,0.9752454180847435,0.011859395474192515,8
0.2813709735870361,0.007087274019786022,0.027690887451171875,0.0006796754792650602,200,10,4,sqrt,10,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.9804928482906422,0.9604415440155512,0.991607382204351,0.9832473519565337,0.9603957636566332,0.9752369780247422,0.012640782469636456,10
