mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8220610618591309,0.010278671827226624,0.04766654968261719,0.004221163944522854,300,5,2,sqrt,30,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.987557015143222,0.9831611034903217,0.9834597375993757,0.9862215285567966,0.9900807198946496,0.9860960209368731,0.0025919804116307566,1
0.5602365493774414,0.004960656832924438,0.03957552909851074,0.000615088484204077,200,2,2,sqrt,30,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9878185246001338,0.9835269013869837,0.9827281373457544,0.9861910452128957,0.9902148466078134,0.9860958910307162,0.0027525910866363595,2
0.5566317558288574,0.005655984287760837,0.03691248893737793,0.004337475813059798,200,10,2,sqrt,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9871981998418781,0.9828135954884926,0.9825574306199092,0.9855569916597571,0.9904221333463396,0.9857096701912754,0.0029247291581249975,3
0.4256990909576416,0.12609835821670753,0.030888462066650392,0.002961407379180093,100,5,1,sqrt,20,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20}",0.9860974274767378,0.9827587258039934,0.9838743110764279,0.9857094083792616,0.9896905330927181,0.9856260811658277,0.0023680922892685865,4
0.7859256267547607,0.0027764443189992496,0.05036520957946777,0.00039030762767824543,300,2,4,sqrt,30,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9871860366113241,0.9827587258039933,0.982313563868702,0.9853070282397699,0.9901233965761107,0.98553775021998,0.0028953959140661377,5
0.5306502342224121,0.010893256840399164,0.037769508361816403,0.004331842731670619,200,5,2,sqrt,10,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.9861339171683999,0.9826428898033837,0.9830268741159831,0.9859593717992489,0.9892698629468858,0.9854065831667803,0.0024108312614033837,6
0.312944221496582,0.008304320459994172,0.029341459274291992,0.0002937073434301595,100,2,2,sqrt,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9863893450100347,0.9821612559061118,0.9828622640589181,0.9853618982587914,0.9896722430863776,0.9852894012640467,0.0026870326715932214,7
0.5086319446563721,0.0065573225212627664,0.03938908576965332,0.0001641372548006611,200,2,4,sqrt,10,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.9863042023961563,0.9819234872732815,0.98258181729503,0.9858557284299859,0.9895137296980929,0.9852357930185093,0.0027510549699291836,8
0.5625100612640381,0.021373751123590086,0.03970623016357422,0.0007013884299471385,200,10,4,sqrt,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9862616310892173,0.982520957171163,0.9818136370287275,0.9853253182461102,0.988904062820075,0.9849651212710586,0.0025780508595784632,9
0.2807318687438965,0.0077796734956169285,0.0266448974609375,0.004671299047694611,100,5,2,sqrt,10,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.9856291431004075,0.9813686937966773,0.983301224211091,0.9848558747500366,0.9890442862020192,0.9848398444120463,0.002557999955974179,10
