mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__solver,param_classifier__penalty,param_classifier__max_iter,param_classifier__class_weight,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.759940767288208,0.45483202519988525,0.0017556190490722657,2.968118845203691e-05,saga,l1,1000,balanced,5.0,"{'classifier__solver': 'saga', 'classifier__penalty': 'l1', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__C': 5.0}",1.0,0.994437154884916,0.99722383274786,0.99722383274786,0.9972099096313095,0.9972189460023891,0.0017591334557357826,1
0.09518208503723144,0.00807823147688447,0.0019646167755126955,6.471321493039895e-05,liblinear,l2,500,balanced,50.0,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__max_iter': 500, 'classifier__class_weight': 'balanced', 'classifier__C': 50.0}",1.0,0.9944157839855112,1.0,0.994437154884916,0.9972099096313095,0.9972125697003473,0.0024925681599201155,2
0.036379098892211914,0.0037859742900914896,0.0024242401123046875,0.0001638222617894048,liblinear,l1,1000,,1.0,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__max_iter': 1000, 'classifier__class_weight': None, 'classifier__C': 1.0}",1.0,0.99722383274786,1.0,0.9972132640415203,0.9915973922941603,0.9972068978167081,0.0030682150883152037,3
0.036271286010742185,0.0021105194777843892,0.002279806137084961,7.728843434880136e-05,liblinear,l1,1000,balanced,5.0,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__C': 5.0}",1.0,0.994437154884916,0.99722383274786,0.99722383274786,0.9944090996722575,0.9966587840105786,0.0020880134115015205,4
0.09270429611206055,0.004375445925872008,0.0019730091094970702,4.979116161778376e-05,liblinear,l2,3000,,50.0,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__max_iter': 3000, 'classifier__class_weight': None, 'classifier__C': 50.0}",1.0,0.991607382204351,1.0,0.994437154884916,0.9972099096313095,0.9966508893441153,0.0032583177431587534,5
0.036608314514160155,0.0011237547931228446,0.002315998077392578,5.206900199367715e-05,liblinear,l1,1000,balanced,10.0,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__C': 10.0}",1.0,0.994437154884916,0.9944580610021787,0.99722383274786,0.9944090996722575,0.9961056296614424,0.0022267915505231875,6
5.185421323776245,0.6571727855427829,0.0017567157745361328,3.194787608972061e-05,saga,l2,3000,balanced,10.0,"{'classifier__solver': 'saga', 'classifier__penalty': 'l2', 'classifier__max_iter': 3000, 'classifier__class_weight': 'balanced', 'classifier__C': 10.0}",1.0,0.991639792124561,1.0,0.9916714982435797,0.9972099096313095,0.9961042399998901,0.003772449909552786,7
0.09517207145690917,0.006274630843109435,0.0020750999450683595,6.39834093244172e-05,liblinear,l2,3000,balanced,5.0,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__max_iter': 3000, 'classifier__class_weight': 'balanced', 'classifier__C': 5.0}",1.0,0.991639792124561,1.0,0.9916714982435797,0.9972099096313095,0.9961042399998901,0.003772449909552786,7
11.815143823623657,3.453323654223752,0.002274036407470703,0.0009835331698267282,saga,l1,3000,balanced,10.0,"{'classifier__solver': 'saga', 'classifier__penalty': 'l1', 'classifier__max_iter': 3000, 'classifier__class_weight': 'balanced', 'classifier__C': 10.0}",1.0,0.9888315679710225,1.0,0.9944580610021787,0.9972099096313095,0.9960999077209021,0.004175594979868845,9
14.419636726379395,1.9792944279080058,0.0017384529113769532,2.0384216858282508e-05,saga,l1,3000,,50.0,"{'classifier__solver': 'saga', 'classifier__penalty': 'l1', 'classifier__max_iter': 3000, 'classifier__class_weight': None, 'classifier__C': 50.0}",1.0,0.991607382204351,0.9972132640415203,0.9916714982435797,0.9972099096313095,0.9955404108241522,0.0033439736378023457,10
