mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__weight_decay,param_classifier__learning_rate,param_classifier__latent_dim,param_classifier__hidden_dims,param_classifier__epochs,param_classifier__dropout_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.588678789138794,2.680875799628375,0.0025446414947509766,0.0001181474121425145,1e-05,0.0001,4,"(256, 256)",200,0.2,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.2}",0.6319530669674082,0.5939454590943207,0.6321915349555645,0.5781292491107461,0.6001838335273194,0.6072806287310717,0.02148151131845508,14
19.77283024787903,3.486803126798899,0.002977752685546875,0.0004248688811769233,0.0001,5e-05,8,"(128, 64)",400,0.2,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.2}",0.6022295359290366,0.5841663856588093,0.6501017067148187,0.5881748267722531,0.5850964310189164,0.6019537772187669,0.02493479517637718,15
7.790020322799682,2.242802589810839,0.0027215957641601564,0.00015255565600851147,1e-05,0.0005,4,"(128, 64)",200,0.1,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.1}",0.6332326644364078,0.5825401659940608,0.6869445562432694,0.5539698251949832,0.5520172738249338,0.601740897138731,0.05171958437367891,16
10.303844690322876,2.0038027788740367,0.0026326656341552736,0.00016269774677072211,1e-06,0.0001,4,"(256, 128)",300,0.3,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.3}",0.5985642482635971,0.6089077677823584,0.614602256039856,0.5771176208243138,0.5842751628939096,0.5966934111608071,0.014218591501003833,17
7.926513147354126,3.1224393666997603,0.0028805255889892576,0.00035096301315946585,0.0001,0.0001,8,"(256, 256)",200,0.1,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.1}",0.5875738072904523,0.5395350860971816,0.6477793127454285,0.5816427538044839,0.6187303521119101,0.5950522624098913,0.03649299342825025,18
10.239146614074707,2.802021734606428,0.0024727821350097657,3.577473758656864e-05,1e-06,0.0003,4,"(128, 64)",200,0.1,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.1}",0.5980816882011354,0.5811478173847777,0.6389846732875744,0.6012933613253417,0.550227888307535,0.5939470857012729,0.02889510854508316,19
14.020965051651,1.628724340197308,0.002620029449462891,0.00010866640732388617,0.0001,0.0001,2,"(128, 64)",200,0.3,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.3}",0.5938958863110182,0.5787873513831026,0.6148796379893615,0.5763072304228172,0.6010866845786514,0.5929913581369901,0.014321754094786828,20
7.586197566986084,2.8223038516832815,0.002658367156982422,0.0003093594023492532,1e-05,0.0001,4,"(256, 256)",400,0.1,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.1}",0.5765887883404814,0.5412673635661529,0.6248925824803385,0.5610077123059686,0.5942445964908464,0.5796002086367575,0.028600747567942647,21
6.709895753860474,1.0959910174030134,0.002845907211303711,0.00035471135777132744,1e-05,0.0001,2,"(256, 256)",200,0.0,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.0}",0.5763231092049688,0.5454580065483895,0.7015098280231913,0.5357224440069183,0.5378327223678628,0.5793692220302662,0.06278200220946434,22
11.737497186660766,3.516024471323753,0.0028989315032958984,0.0005458730695696128,1e-06,0.0001,4,"(128, 64)",300,0.1,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.1}",0.5823849311131956,0.5490694107537175,0.6344649791691594,0.5637652152157596,0.5552588354309211,0.5769886743365507,0.030851827347507344,23
4.5264129638671875,0.9902092630877656,0.003423595428466797,0.0008437452977262828,0.0001,0.0003,2,"(256, 128)",200,0.0,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.0}",0.5664685820867198,0.5815938040486888,0.5894964701787211,0.5674853966561878,0.5551500581958208,0.5720388622332276,0.012108333987474915,24
11.780735063552857,3.4100770516761867,0.0027451515197753906,0.0003373547576764483,1e-06,0.0001,2,"(256, 128)",200,0.1,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.1}",0.5914613979060146,0.5921451958534119,0.5966431345248067,0.5371147926162012,0.5427168202238636,0.5720162682248595,0.02632998288025552,25
5.949956178665161,1.1147200499640053,0.0030513763427734374,0.0004687750330883476,0.0001,0.0001,8,"(256, 256)",200,0.0,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.0}",0.5599540212434868,0.5655056509773634,0.6247620497982183,0.5522837780509295,0.5367721443256356,0.5678555288791267,0.03004983890585753,26
9.39936990737915,3.0019208938643693,0.003098917007446289,0.0004259862963393575,0.0001,0.0005,2,"(256, 128)",300,0.1,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.1}",0.5701528468332674,0.5189979441102566,0.6184747256094245,0.5281569873056966,0.601848125224353,0.5675261258165996,0.0392060521203275,27
7.961533451080323,2.440078540925304,0.002930307388305664,0.0005967632294443687,1e-05,0.0005,2,"(256, 256)",300,0.1,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.1}",0.5734494369228934,0.5220980953106134,0.5948537490074077,0.5110952779802242,0.6314355331716178,0.5665864184785513,0.04496671712715851,28
9.343208456039429,3.880913116500005,0.0028048038482666017,0.00016830780615174952,1e-05,0.0005,2,"(256, 128)",300,0.1,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.1}",0.5704402140614749,0.5211408556417313,0.6274597252287042,0.5147882651118774,0.598182332401475,0.5664022784890526,0.04351296663706611,29
9.582079744338989,1.948130819652191,0.0028737068176269533,0.00037234727698195666,1e-06,0.0003,2,"(256, 256)",300,0.3,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 300, 'classifier__dropout_rate': 0.3}",0.6011830854565072,0.5410688451120949,0.592640132273118,0.548427625066626,0.5300062003024006,0.5626651776421493,0.028697893339029952,30
8.823713207244873,1.8543073120909193,0.0025524139404296876,8.441480412863806e-05,1e-06,0.0003,2,"(256, 256)",200,0.3,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.3}",0.6011830854565072,0.5410688451120949,0.592640132273118,0.548427625066626,0.5300062003024006,0.5626651776421493,0.028697893339029952,30
15.51169924736023,4.845514726092208,0.002718019485473633,0.0002174827775833447,0.0001,5e-05,2,"(128, 64)",400,0.0,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (128, 64), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.0}",0.5575520649775257,0.6130467415779226,0.5987860460562814,0.516920298919842,0.5229302411591302,0.5618470785381404,0.03882595965751485,32
9.376244449615479,2.5921611997439946,0.003327798843383789,0.0006529555727447706,1e-06,0.0001,8,"(256, 128)",200,0.0,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.0}",0.5712209853984916,0.5395078917884065,0.5884467698600037,0.5555416562421817,0.5478021559647998,0.5605038918507766,0.017449644242335628,33
11.29429326057434,2.5814937757643075,0.002680349349975586,0.00023396370739374363,1e-05,5e-05,4,"(256, 128)",400,0.0,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 5e-05, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.0}",0.5674879224433805,0.5252254408197453,0.5894692758699459,0.5347108157204861,0.5617963472604453,0.5557379604228008,0.02317637576159546,34
7.787605285644531,2.587745141158743,0.002920722961425781,0.0005262537119314986,1e-05,0.0005,4,"(256, 128)",400,0.1,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.1}",0.5597967825714487,0.5105133197724381,0.5895780531050462,0.5106329747310483,0.6020656796945536,0.554517361974907,0.03841916718580007,35
9.080968332290649,2.7350706616034164,0.002925586700439453,0.00031822553641646333,0.0001,0.0001,8,"(256, 128)",200,0.0,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 8, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.0}",0.5647687778217564,0.537941499602963,0.5889906560355048,0.5328126529679869,0.539736323982117,0.5528499820820656,0.021184576664692808,36
8.283045148849487,2.9750980897011656,0.0026146888732910155,0.0001646334687286509,1e-06,0.0005,4,"(256, 128)",200,0.1,"{'classifier__weight_decay': 1e-06, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 4, 'classifier__hidden_dims': (256, 128), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.1}",0.5644543004776803,0.5161262251036103,0.5796956412961896,0.5044272334685798,0.5978831950049495,0.5525173190702019,0.03626619218149502,37
7.445722436904907,1.134453649116889,0.002876472473144531,0.00044697753284669026,0.0001,0.0003,2,"(256, 256)",400,0.2,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0003, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 400, 'classifier__dropout_rate': 0.2}",0.5727120417712666,0.572092112562683,0.5892299659527254,0.504095462901524,0.5233381557907562,0.552293547795791,0.032663946984280594,38
9.262640810012817,1.7667962299584774,0.002710723876953125,0.0002130824405423269,1e-05,0.0001,2,"(256, 256)",200,0.2,"{'classifier__weight_decay': 1e-05, 'classifier__learning_rate': 0.0001, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.2}",0.5542934290501158,0.5261446084563423,0.5793693095908887,0.5165395785969913,0.5669360716189316,0.5486565994626538,0.023864099739503514,39
7.338361930847168,2.2077172782741954,0.002650737762451172,0.00020849363265341026,0.0001,0.0005,2,"(256, 256)",200,0.2,"{'classifier__weight_decay': 0.0001, 'classifier__learning_rate': 0.0005, 'classifier__latent_dim': 2, 'classifier__hidden_dims': (256, 256), 'classifier__epochs': 200, 'classifier__dropout_rate': 0.2}",0.5779117619948708,0.5293154648595142,0.5876526960437719,0.4952681902731397,0.5146577324297571,0.5409611691202107,0.035946589617424654,40
