mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4972179889678955,0.039903135359274915,0.0030925750732421877,0.00027993904647276774,0.8,100,3,0.1,0.7,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.99170251371022,0.9832473519565337,0.991607382204351,0.9833114646547483,0.9830950728660652,0.9865927570783836,0.004133968752624689,1
0.42226696014404297,0.04207553590750715,0.0028012752532958984,0.0005720017709501867,0.7,100,3,0.2,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 1.0}",0.9833114646547483,0.9831818181818182,0.9944157839855112,0.9861191637392995,0.9830950728660652,0.9860246606854884,0.004346160421728039,2
1.0164167881011963,0.37820202822130633,0.003032875061035156,0.0004841169039846711,0.8,200,3,0.2,0.8,"{'classifier__subsample': 0.8, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.99170251371022,0.980339928094788,0.9887878787878788,0.9861191637392995,0.9831619110816191,0.9860222790827612,0.004009833204538035,3
0.8224491119384766,0.01761727926145135,0.0027249813079833984,0.00013199930891185835,0.7,100,9,0.1,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.9889161220043573,0.9831818181818182,0.9944157839855112,0.9860663202076015,0.9774600971547536,0.9860080283068082,0.005660483249741988,4
0.6242184638977051,0.029677746425885693,0.0026882171630859377,0.00011953675116785802,0.7,200,3,0.1,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.8}",0.99170251371022,0.9804172251434855,0.991607382204351,0.9861191637392995,0.9774600971547536,0.9854612763904219,0.0057727254891407585,5
0.6986217975616456,0.043271585297338884,0.002686595916748047,0.00015644434917975032,0.7,200,9,0.2,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.7}",0.9889161220043573,0.980339928094788,0.9887878787878788,0.9861191637392995,0.9830950728660652,0.9854516330984777,0.0033245065802064663,6
0.7504104614257813,0.01714721300685912,0.0026647567749023436,0.00020273024369494582,0.7,100,6,0.1,0.7,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.9889161220043573,0.9776631359420449,0.9944157839855112,0.9833114646547483,0.9803167875224224,0.9849246588218168,0.006042810986227975,7
0.6565448760986328,0.018549565549106414,0.0025879383087158204,0.00012984378259529977,1.0,200,3,0.1,1.0,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.9833114646547483,0.9804172251434855,0.9944157839855112,0.9833114646547483,0.9830950728660652,0.9849102022609116,0.004877490048939391,8
0.6424559116363525,0.007298014519268489,0.0025472640991210938,2.0153351990283043e-05,0.7,200,6,0.2,1.0,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 1.0}",0.9889161220043573,0.9776631359420449,0.991607382204351,0.9861191637392995,0.9802379511998387,0.9849087510179781,0.005228978671197257,9
0.658879566192627,0.025968921010037806,0.002670955657958984,8.564908631019955e-05,0.7,200,9,0.2,0.8,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.8}",0.9889161220043573,0.9831818181818182,0.991607382204351,0.9861191637392995,0.9746930125288288,0.984903499731731,0.005826478404125696,10
