mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9963551998138428,0.1424954639784355,0.055294036865234375,0.005098503105280834,300,5,2,sqrt,30,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9700358815301344,0.9684729064039408,0.9684850696344949,0.9722435078756918,0.9724918304638346,0.9703458391816193,0.0017477322048145144,1
0.7974143981933594,0.1959002860337038,0.04784512519836426,0.005857615529575236,200,2,2,sqrt,30,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9690384966247035,0.9680715197956578,0.967785683877638,0.970923797360579,0.9733758474369604,0.9698390690191075,0.0020816807683690934,2
0.5834187984466552,0.008700181547028387,0.039076948165893556,0.0004483852107004696,200,10,2,sqrt,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9672383385027064,0.9690080885483184,0.9661497293681203,0.9721401204159824,0.9720772569867825,0.9693227067643819,0.0024509886919893615,3
0.5871323108673095,0.03310067555749081,0.03962750434875488,0.0004701292866513652,200,10,4,sqrt,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9679316426442863,0.9670619716596727,0.9657544243751139,0.9709967767439032,0.9702970297029704,0.9684083690251892,0.0019672503545749643,4
0.3347301006317139,0.005801169631547196,0.028965568542480467,0.0007448553358846644,100,5,1,sqrt,20,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 20}",0.9674998479596181,0.967171440734659,0.9663200145958767,0.9700845344523505,0.9708518265619664,0.968385532860894,0.0017603428169635376,5
0.8005192756652832,0.013175294606231396,0.05022425651550293,0.0009775129108839688,300,2,4,sqrt,30,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9678465000304081,0.966101076445904,0.9644651219363863,0.9721583652618135,0.9713395600643808,0.9683821247477786,0.0029610606981121793,6
0.38625221252441405,0.09725604970812261,0.03026614189147949,0.001996405016169789,100,2,2,sqrt,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.966082831600073,0.9685854162865657,0.9640971842121268,0.9706926959800524,0.9722235770375067,0.9683363410232648,0.0029588445781898514,7
0.33594503402709963,0.022068810574416613,0.02972302436828613,0.0009027895795999,100,10,2,sqrt,30,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9666545034361127,0.9680411117192727,0.9656206288390196,0.9708508179772547,0.9704494464224748,0.9683233016788269,0.0020531823755794883,8
0.3206015586853027,0.00715287283456046,0.02859635353088379,0.0005167242823168513,100,10,2,sqrt,,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None}",0.9666545034361127,0.9680411117192727,0.9656206288390196,0.9708508179772547,0.9704494464224748,0.9683233016788269,0.0020531823755794883,8
0.7496042251586914,0.12136516780232537,0.045354032516479494,0.009501614218740122,200,2,4,sqrt,10,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10}",0.9659916073709176,0.9653226296904457,0.9650003040807639,0.9703521255245393,0.9705347997853973,0.9674402932904128,0.0024735187392203703,10
0.30892000198364256,0.01216830641583764,0.026822376251220702,0.004685632337808808,100,10,4,sqrt,30,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 30}",0.9679985404123334,0.9657179346834519,0.9640029191753329,0.9695128626163109,0.9694252060674047,0.9673314925909668,0.0021573100940312576,11
